ID_PRODUTO,DIA,FLAG_PROMOCAO,QUANTIDADE_ESTOQUE
1,2023-12-31,0,112
2,2023-12-31,1,136
3,2023-12-31,0,127
4,2023-12-31,1,80
5,2023-12-31,0,72
6,2023-12-31,1,175
7,2023-12-31,1,187
8,2023-12-31,1,123
9,2023-12-31,1,80
10,2023-12-31,0,180
11,2023-12-31,0,78
12,2023-12-31,1,96
13,2023-12-31,0,195
14,2023-12-31,1,135
15,2023-12-31,1,197
16,2023-12-31,0,115
17,2023-12-31,0,153
18,2023-12-31,0,149
19,2023-12-31,1,51
20,2023-12-31,0,189
21,2023-12-31,1,178
22,2023-12-31,0,103
23,2023-12-31,1,78
24,2023-12-31,0,93
25,2023-12-31,1,58
1,2024-01-01,1,96
2,2024-01-01,0,121
3,2024-01-01,1,123
4,2024-01-01,1,61
5,2024-01-01,0,59
6,2024-01-01,0,156
7,2024-01-01,0,181
8,2024-01-01,0,120
9,2024-01-01,1,74
10,2024-01-01,1,173
11,2024-01-01,1,61
12,2024-01-01,0,86
13,2024-01-01,1,176
14,2024-01-01,1,119
15,2024-01-01,0,195
16,2024-01-01,0,111
17,2024-01-01,1,151
18,2024-01-01,1,145
19,2024-01-01,1,48
20,2024-01-01,1,189
21,2024-01-01,1,167
22,2024-01-01,1,99
23,2024-01-01,1,64
24,2024-01-01,0,77
25,2024-01-01,1,45
1,2024-01-02,0,88
2,2024-01-02,0,117
3,2024-01-02,0,107
4,2024-01-02,0,43
5,2024-01-02,1,51
6,2024-01-02,0,145
7,2024-01-02,0,172
8,2024-01-02,0,101
9,2024-01-02,1,74
10,2024-01-02,1,165
11,2024-01-02,1,56
12,2024-01-02,1,76
13,2024-01-02,1,161
14,2024-01-02,1,115
15,2024-01-02,0,191
16,2024-01-02,0,101
17,2024-01-02,1,151
18,2024-01-02,1,143
19,2024-01-02,1,32
20,2024-01-02,1,179
21,2024-01-02,1,165
22,2024-01-02,0,89
23,2024-01-02,1,63
24,2024-01-02,1,59
25,2024-01-02,1,40
1,2024-01-03,1,79
2,2024-01-03,1,116
3,2024-01-03,0,95
4,2024-01-03,0,32
5,2024-01-03,1,50
6,2024-01-03,1,144
7,2024-01-03,1,170
8,2024-01-03,0,95
9,2024-01-03,1,61
10,2024-01-03,1,163
11,2024-01-03,0,40
12,2024-01-03,1,62
13,2024-01-03,1,150
14,2024-01-03,1,96
15,2024-01-03,1,178
16,2024-01-03,1,82
17,2024-01-03,0,134
18,2024-01-03,1,127
19,2024-01-03,0,26
20,2024-01-03,1,167
21,2024-01-03,1,155
22,2024-01-03,0,84
23,2024-01-03,0,61
24,2024-01-03,0,44
25,2024-01-03,1,21
1,2024-01-04,0,75
2,2024-01-04,0,99
3,2024-01-04,1,76
4,2024-01-04,0,30
5,2024-01-04,0,36
6,2024-01-04,1,128
